Entry	Entry name	Status	Protein names	Gene names	Organism	Length
W4VSJ0	ACES_TRILK	reviewed	Acetylcholinesterase-1 (AChE) (EC 3.1.1.7)		Trittame loki (Brush-footed trapdoor spider)	559
Q86M31	AEP2_MESMA	reviewed	Neurotoxin BmKAEP2 (AEP2)		Mesobuthus martensii (Manchurian scorpion) (Buthus martensii)	85
C0JB32	A612_LOXHI	reviewed	Phospholipase D LhSicTox-alphaVI1ii (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles hirsuta (Recluse spider)	275
C0JAS7	A1I2_LOXSP	reviewed	Phospholipase D LspaSicTox-alphaIA2ii (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles spadicea (Recluse spider)	273
C0JAX4	A1MA2_LOXDE	reviewed	Phospholipase D LdSicTox-alphaIB3aii (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles deserta (Desert recluse spider)	273
C0JAX7	A1MA4_LOXDE	reviewed	Phospholipase D LdSicTox-alphaIB3aiv (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles deserta (Desert recluse spider)	273
Q7LZG1	ACES_NAJOX	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7) (Fragments)	ACHE	Naja oxiana (Central Asian cobra) (Oxus cobra)	181
P86348	ALPH_DEIAC	reviewed	Alkaline phosphatase (EC 3.1.3.1) (Fragment)		Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus)	20
P84715	ANF39_ORNAN	reviewed	C-type natriuretic peptide (CNP) [Cleaved into: Venom peptide 1; Venom peptide 2; Venom peptide 3; Venom peptide 4; Venom peptide 5; Venom peptide 6; Venom peptide 7; Venom peptide 8; Venom peptide 9; Venom peptide 10; Venom peptide 11; C-type natriuretic peptide 39 (ovCNP-39)]		Ornithorhynchus anatinus (Duckbill platypus)	121
P84524	AMP1_PHYHY	reviewed	Antimicrobial peptide 1		Phyllomedusa hypochondrialis (Orange-legged leaf frog)	12
P0DMI9	AMP3_HETSP	reviewed	Antimicrobial peptide HsAp3		Heterometrus spinifer (Asia giant forest scorpion) (Malaysian black scorpion)	74
P0CF39	AMP1_TITDI	reviewed	Bactridin-1 (Bact1) (Bactridine 1) (P-Arthr-Antm-beta* NaTx2.6)		Tityus discrepans (Venezuelan scorpion)	61
P83563	ALL6_APIME	reviewed	Allergen Api m 6.03 / Api m 6.04 (allergen Api m 6) [Cleaved into: Allergen Api m 6.01 / Api m 6.02]		Apis mellifera (Honeybee)	92
A0A1W6EVN4	AMPU3_AMPCP	reviewed	Ampulexin 3 (Axn3)		Ampulex compressa (Emerald cockroach wasp)	30
P15228	AEP1_MESMA	reviewed	Toxin BmKAEP (Anti-epilepsy peptide) (BmK AEP)		Mesobuthus martensii (Manchurian scorpion) (Buthus martensii)	85
P0DMI7	AMP1_HETSP	reviewed	Antimicrobial peptide HsAp1 (HsAp) (Non-disulfide-bridged peptide 3.3) (NDBP-3.3)		Heterometrus spinifer (Asia giant forest scorpion) (Malaysian black scorpion)	74
P0DMI8	AMP2_HETSP	reviewed	Antimicrobial peptide HsAp2		Heterometrus spinifer (Asia giant forest scorpion) (Malaysian black scorpion)	74
P0DN67	ACTP1_TERSU	reviewed	Tereporin-Ts1 (Actinoporin-like protein) (Fragment)		Terebra subulata (Chocolate spotted auger) (Buccinum subulatum)	207
P0DN66	ACTP1_CINAN	reviewed	Tereporin-Ca1 (Actinoporin-like protein) (Fragment)		Cinguloterebra anilis (Auger snail) (Triplostephanus anilis)	190
P61408	AF1_GRARO	reviewed	Beta-theraphotoxin-Gr1b (Beta-TRTX-Gr1b) (GsAF 1) (GsAF I) (GsAFI)		Grammostola rosea (Chilean rose tarantula) (Grammostola spatulata)	29
P61409	AF2_GRARO	reviewed	Kappa-theraphotoxin-Gr2c (Kappa-TRTX-Gr2c) (GsAF II) (GsAFII) (Mechanotoxin-alpha)		Grammostola rosea (Chilean rose tarantula) (Grammostola spatulata)	81
A0A2R4SV19	ALL6_APICE	reviewed	Venom serine protease inhibitor (AcVSPI) (VSPI) (Allergen Api m 6-like peptide)		Apis cerana (Indian honeybee)	87
D2N116	3L2A_BUNCE	reviewed	Alpha-delta-bungarotoxin-4 (Alpha-delta-Bgt-4) (Fragment)		Bungarus caeruleus (Indian krait)	76
Q7M3V1	33VP_CHENC	reviewed	33kDa venom protein		Chelonus sp. nr. curvimaculatus (Parasitic wasp)	246
Q8AY55	3LKB_BUNCA	reviewed	Kappa 1b-bungarotoxin		Bungarus candidus (Malayan krait)	87
P01397	3L22_DENPO	reviewed	Alpha-elapitoxin-Dpp2c (Alpha-EPTX-Dpp2c) (Long neurotoxin 2) (Neurotoxin delta) (Toxin TN2)		Dendroaspis polylepis polylepis (Black mamba)	72
O57326	3S1A3_NAJSP	reviewed	Alpha-neurotoxin NTX-3 (NTX3)		Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix)	83
P60773	3S11_NAJPH	reviewed	Short neurotoxin 1 (NTX I)		Naja philippinensis (Philippine cobra)	61
Q98959	3SA3A_NAJAT	reviewed	Cytotoxin 3a (Cardiotoxin-31) (Ctx-31) (Cardiotoxin-3a)		Naja atra (Chinese cobra)	81
P10460	3S1C_LATLA	reviewed	Short neurotoxin C		Laticauda laticaudata (Blue-ringed sea krait) (Blue-lipped sea krait)	62
P29179	3NO25_NAJNA	reviewed	Weak neurotoxin 5		Naja naja (Indian cobra)	62
Q98960	3SA3B_NAJAT	reviewed	Cytotoxin 3b (Cardiotoxin 3b)		Naja atra (Chinese cobra)	81
F8J2G3	3S12A_DRYCN	reviewed	Short neurotoxin 2 (SNTX-2)		Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides)	81
P01422	3S12_NAJHA	reviewed	Short neurotoxin 2 (Toxin CM-14) (Toxin V-N-I2)		Naja annulifera (Banded Egyptian cobra) (Naja haje annulifera)	61
Q9W727	3SO8_BUNMU	reviewed	Muscarinic toxin-like protein		Bungarus multicinctus (Many-banded krait)	86
P01465	3SA6_NAJHA	reviewed	Cytotoxin 6 (Toxin CM-2H)		Naja annulifera (Banded Egyptian cobra) (Naja haje annulifera)	60
P01471	3SB1_HEMHA	reviewed	Cytotoxin 1 (Hemolytic protein 12B)		Hemachatus haemachatus (Rinkhals) (Sepedon haemachatus)	61
P24776	3SB2_HEMHA	reviewed	Cytotoxin 2 (Toxin 12A)		Hemachatus haemachatus (Rinkhals) (Sepedon haemachatus)	61
P01421	3S14_NAJHA	reviewed	Short neurotoxin 4 (Toxin CM-12) (Toxin V-NH-I2)		Naja annulifera (Banded Egyptian cobra) (Naja haje annulifera)	61
F5CPE2	3SX3_MICAT	reviewed	Three-finger toxin MALT0063C		Micrurus altirostris (Uruguayan coral snake) (Elaps altirostris)	82
A8HDK2	3SX3_OXYSC	reviewed	Short neurotoxin 3 (SNTX-3)		Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan)	79
Q9PS09	3SOBB_DENAN	reviewed	Dendrotoxin B (DTX-B) (Fragment)		Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps)	30
Q53B47	3SX5_OPHHA	reviewed	Short neurotoxin OH-5		Ophiophagus hannah (King cobra) (Naja hannah)	78
P49122	3SOF7_NAJAT	reviewed	Cytotoxin 7 (Cardiotoxin-7) (CTX7) (Ctx-7) (Cardiotoxin-like basic protein 2) (CLBP2)		Naja atra (Chinese cobra)	82
P60235	3SI13_DENAN	reviewed	Muscarinic m1-toxin3 (Fragment)		Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps)	40
Q53B48	3SX7_OPHHA	reviewed	Short neurotoxin OH-46		Ophiophagus hannah (King cobra) (Naja hannah)	78
P01414	3SL2_DENPO	reviewed	Toxin FS-2 (FS2)		Dendroaspis polylepis polylepis (Black mamba)	60
P01393	3L21_DENJA	reviewed	Alpha-elapitoxin-Djk2a (Alpha-EPTX-Djk2a) (Long neurotoxin 1) (Toxin V-III-N1)		Dendroaspis jamesoni kaimosae (Eastern Jameson's mamba)	72
C0JAZ8	A1OB5_LOXVA	reviewed	Phospholipase D LvSicTox-alphaIC1bv (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles variegata (Recluse spider)	272
C0JB09	A31_LOXAR	reviewed	Phospholipase D LarSicTox-alphaIII1 (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles arizonica (Arizona brown spider)	275
C0JB27	A423_LOXLA	reviewed	Phospholipase D LlSicTox-alphaIV2iii (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles laeta (South American recluse spider) (Scytodes laeta)	276
C0JB13	A333_LOXLA	reviewed	Phospholipase D LlSicTox-alphaIII3iii (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles laeta (South American recluse spider) (Scytodes laeta)	278
C0JAR0	A1IA4_LOXHI	reviewed	Phospholipase D LhSicTox-alphaIA2aiv (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles hirsuta (Recluse spider)	271
C0JAX3	A1MA1_LOXDE	reviewed	Phospholipase D LdSicTox-alphaIB3ai (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles deserta (Desert recluse spider)	273
F8J2E6	3L231_DRYCN	reviewed	Long neurotoxin 31 (LNTX-31)		Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides)	88
P80958	3S1CC_NAJAT	reviewed	Cobrotoxin-b (CBT-b) (Atratoxin-b) (Cobrotoxin III) (CBT-III) (Cobrotoxin IV) (CBT IV) (NT3) (Short neurotoxin)		Naja atra (Chinese cobra)	82
A8HDK0	3S11_NOTSC	reviewed	Short neurotoxin 1 (SNTX-1)		Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake)	81
P60775	3S1EA_LATSE	reviewed	Erabutoxin a (ETXA) (Ea) (Short neurotoxin 1a)		Laticauda semifasciata (Black-banded sea krait) (Pseudolaticauda semifasciata)	83
O73856	3SA4B_NAJSP	reviewed	Cytotoxin 4b (Cardiotoxin-4b) (CTX-4b) (Ctx4b)		Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix)	81
Q8UW27	3S116_HYDHA	reviewed	Short neurotoxin SN160		Hydrophis hardwickii (Hardwick's spine-bellied seasnake) (Lapemis hardwickii)	81
P01464	3SA5_NAJHA	reviewed	Cytotoxin 5 (Toxin CM-6)		Naja annulifera (Banded Egyptian cobra) (Naja haje annulifera)	60
P01457	3SA5_NAJHH	reviewed	Cytotoxin 5 (Toxin CM-8)		Naja haje haje (Egyptian cobra)	60
A8S6A4	3S11_AUSSU	reviewed	Short neurotoxin 1 (SNTX-1)		Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus)	81
Q91136	3SATF_NAJAT	reviewed	Cytotoxin I-like T-15 (Cardiotoxin I-like T-15)		Naja atra (Chinese cobra)	81
P01405	3SOB6_DENVI	reviewed	Toxin 4.9.6		Dendroaspis viridis (Western green mamba)	60
Q9YGC7	3S15_LATCO	reviewed	Short neurotoxin NCA-02/NCA-05/UER-05		Laticauda colubrina (Yellow-lipped sea krait) (Banded sea krait)	83
F5CPE3	3SX5_MICAT	reviewed	Three-finger toxin MALT0065C		Micrurus altirostris (Uruguayan coral snake) (Elaps altirostris)	74
P86419	3SI1B_DENAN	reviewed	Rho-elapitoxin-Da1b (Rho-EPTX-Da1b)		Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps)	66
Q53B49	3SI35_OPHHA	reviewed	Short neurotoxin OH-35		Ophiophagus hannah (King cobra) (Naja hannah)	86
P80494	3SIMA_DENPO	reviewed	Muscarinic toxin alpha (MT-alpha)		Dendroaspis polylepis polylepis (Black mamba)	66
P14534	3SOI2_BUNFA	reviewed	Short neurotoxin 2 (Fasciatoxin) (Toxin V-II-2)		Bungarus fasciatus (Banded krait) (Pseudoboa fasciata)	63
P0C553	3SOII_BUNFA	reviewed	Neurotoxin 3FTx-LI		Bungarus fasciatus (Banded krait) (Pseudoboa fasciata)	79
P22947	3SLS_DENPO	reviewed	Calciseptin (Calciseptine) (CaS) (L-type calcium channel blocker)		Dendroaspis polylepis polylepis (Black mamba)	60
C0HJT5	3SO1_HEMHA	reviewed	Ringhalexin		Hemachatus haemachatus (Rinkhals) (Sepedon haemachatus)	65
P28375	3SPM_DENJA	reviewed	Dendroaspin (Glycoprotein IIb-IIIa antagonist) (Mambin) (Platelet aggregation inhibitor)		Dendroaspis jamesoni kaimosae (Eastern Jameson's mamba)	59
F5CPE6	3SX0_MICAT	reviewed	Three-finger toxin MALT0070C		Micrurus altirostris (Uruguayan coral snake) (Elaps altirostris)	84
Q53B54	3L217_OPHHA	reviewed	Long neurotoxin OH-17		Ophiophagus hannah (King cobra) (Naja hannah)	72
C0JAS3	A1IB5_LOXHI	reviewed	Phospholipase D LhSicTox-alphaIA2bv (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles hirsuta (Recluse spider)	271
C0JAZ5	A1OB2_LOXVA	reviewed	Phospholipase D LvSicTox-alphaIC1bii (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles variegata (Recluse spider)	272
C0JAW8	A1KA3_LOXDE	reviewed	Phospholipase D LdSicTox-alphaIB1aiii (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles deserta (Desert recluse spider)	273
C0JB25	A421_LOXLA	reviewed	Phospholipase D LlSicTox-alphaIV2i (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles laeta (South American recluse spider) (Scytodes laeta)	276
C0JB26	A422_LOXLA	reviewed	Phospholipase D LlSicTox-alphaIV2ii (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles laeta (South American recluse spider) (Scytodes laeta)	276
Q8I913	A331_LOXLA	reviewed	Phospholipase D LlSicTox-alphaIII3i (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (LlH13) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D)		Loxosceles laeta (South American recluse spider) (Scytodes laeta)	311
C0JAW0	A1KB_LOXAR	reviewed	Phospholipase D LarSicTox-alphaIB1b (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles arizonica (Arizona brown spider)	273
P0CE81	A1HB1_LOXIN	reviewed	Phospholipase D LiSicTox-alphaIA1bi (PLD) (EC 3.1.4.4) (Dermonecrotic toxin 1) (LiD1) (LiP1) (P1) (Sphingomyelin phosphodiesterase D 1) (SMD 1) (SMase D 1) (Sphingomyelinase D 1) (recLiD1)		Loxosceles intermedia (Brown spider)	306
B2KKV8	A1IA3_LOXIN	reviewed	Phospholipase D LiSicTox-alphaIA2aiii (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Loxtox i3) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles intermedia (Brown spider)	305
C0JAX5	A1MA3_LOXDE	reviewed	Phospholipase D LdSicTox-alphaIB3aiii (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles deserta (Desert recluse spider)	273
Q2VBP4	3L228_OPHHA	reviewed	Long neurotoxin LNTX28		Ophiophagus hannah (King cobra) (Naja hannah)	91
O12963	3NO56_BUNMU	reviewed	Long neurotoxin homolog TA-bm16 (Delta-protein)		Bungarus multicinctus (Many-banded krait)	89
P01395	3L22_DENVI	reviewed	Alpha-elapitoxin-Dv2a (Alpha-EPTX-Dv2a) (Long neurotoxin 2) (Toxin I/V)		Dendroaspis viridis (Western green mamba)	73
P01386	3L22_OPHHA	reviewed	Long neurotoxin 2 (Neurotoxin B)		Ophiophagus hannah (King cobra) (Naja hannah)	73
Q9YGJ6	3S1A1_NAJSP	reviewed	Alpha-neurotoxin NTX-1 (NTX1)		Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix)	83
P25667	3L23_DENPO	reviewed	Alpha-elapitoxin-Dpp2b (Alpha-EPTX-Dpp2b) (Long neurotoxin 3) (Toxin VN2)		Dendroaspis polylepis polylepis (Black mamba)	72
P25496	3S1B_LATCR	reviewed	Short neurotoxin B		Laticauda crockeri (Crocker's sea krait) (Rennell island sea krait)	62
Q8AY50	3NO22_BUNCA	reviewed	Weak toxin 2		Bungarus candidus (Malayan krait)	86
P07526	3L23_OPHHA	reviewed	Long neurotoxin 3 (Neurotoxin CM-9)		Ophiophagus hannah (King cobra) (Naja hannah)	73
F8J2E5	3L246_DRYCN	reviewed	Long neurotoxin 469 (LNTX-469)		Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides)	92
P25672	3L24_NAJNA	reviewed	Long neurotoxin 4 (Toxin D)		Naja naja (Indian cobra)	71
P29182	3NO28_NAJNA	reviewed	Weak neurotoxin 8		Naja naja (Indian cobra)	65
Q9W7K1	3S32_PSETE	reviewed	Short neurotoxin 2 (SNTX2) (Alpha-neurotoxin 2)		Pseudonaja textilis (Eastern brown snake)	79
P59073	3S332_PSETE	reviewed	Short neurotoxin N2 (Alpha-neurotoxin) (Fragment)		Pseudonaja textilis (Eastern brown snake)	15
P0CAR2	3SO3_MICPY	reviewed	Short neurotoxin D2A (Fragment)		Micrurus pyrrhocryptus (Coral snake)	47
Q9PRQ2	3SX1_MICNI	reviewed	Nicotinic acetylcholine receptor-binding protein Mnn-1A (Fragment)		Micrurus nigrocinctus (Central American coral snake) (Gargantilla)	26
P86544	3SO8_NAJNA	reviewed	Muscarinic toxin-like protein 1 (MTLP-1) (Muscarinic toxin-like protein 2) (MTLP-2) (Fragment)		Naja naja (Indian cobra)	26
A6MFK6	3S11_DEMVE	reviewed	Short neurotoxin SNTX-1		Demansia vestigiata (Lesser black whip snake) (Demansia atra)	84
Q8AY52	3SO92_BUNCA	reviewed	Candiduxin-2		Bungarus candidus (Malayan krait)	86
Q7ZT13	3SO95_BUNMU	reviewed	Neurotoxin-like protein pMD18-NTL1/2/4/5		Bungarus multicinctus (Many-banded krait)	86
P68415	3S11_HYDSC	reviewed	Short neurotoxin 1 (Toxin 4)		Hydrophis schistosus (Beaked sea snake) (Enhydrina schistosa)	60
P01474	3SOF2_NAJME	reviewed	Cytotoxin homolog 2 (Cytotoxin homolog V-II-2/V-II-3)		Naja melanoleuca (Forest cobra) (Black-lipped cobra)	61
A7X6I4	3SX5_THRJA	reviewed	Toxin 3FTx-Thr5		Thrasops jacksonii (Jackson's black tree snake)	86
P25683	3SL8_DENJA	reviewed	Toxin S4C8		Dendroaspis jamesoni kaimosae (Eastern Jameson's mamba)	60
P0DL82	3SXNA_CALBG	reviewed	Delta-elapitoxin-Cb1a (Delta-EPTX-Cb1a) (Calliotoxin)		Calliophis bivirgatus (Blue Malaysian coral snake) (Maticora bivirgata)	57
P60615	3L21A_BUNMU	reviewed	Alpha-bungarotoxin isoform A31 (Alpha-BTX A31) (Alpha-Bgt(A31)) (BGTX A31) (Long neurotoxin 1)		Bungarus multicinctus (Many-banded krait)	95
P25670	3L21_ASPSC	reviewed	Long neurotoxin 1 (Toxin S4C6)		Aspidelaps scutatus (Shield-nose snake)	68
C0JAZ6	A1OB3_LOXVA	reviewed	Phospholipase D LvSicTox-alphaIC1biii (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles variegata (Recluse spider)	272
Q1KY80	A312_LOXLA	reviewed	Phospholipase D LlSicTox-alphaIII1ii (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Ll1) (Sphingomyelin phosphodiesterase D 1) (SMD 1) (SMase D 1) (Sphingomyelinase D 1)		Loxosceles laeta (South American recluse spider) (Scytodes laeta)	285
C0JB11	A312_LOXS4	reviewed	Phospholipase D Ls4SicTox-alphaIII1ii (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles sp. (strain 4 GJB-2008) (Recluse spider)	278
C0JAV2	A1KA4_LOXAR	reviewed	Phospholipase D LarSicTox-alphaIB1aiv (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles arizonica (Arizona brown spider)	273
C0JB08	A21_LOXAR	reviewed	Phospholipase D LarSicTox-alphaII1 (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles arizonica (Arizona brown spider)	273
B2KKW0	A22_LOXIN	reviewed	Phospholipase D LiSicTox-alphaII2 (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Loxtox i5) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D)		Loxosceles intermedia (Brown spider)	310
C0JAU2	A1H3_LOXSP	reviewed	Phospholipase D LspaSicTox-alphaIA1iii (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles spadicea (Recluse spider)	273
P0CE82	A1HB2_LOXIN	reviewed	Phospholipase D LiSicTox-alphaIA1bii (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Loxtox i4) (Sphingomyelin phosphodiesterase D 1) (SMD 1) (SMase D 1) (Sphingomyelinase D 1) (Fragment)		Loxosceles intermedia (Brown spider)	302
C0JAT3	A1I4_LOXSP	reviewed	Phospholipase D LspaSicTox-alphaIA2iv (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles spadicea (Recluse spider)	273
C0JB03	A1OA_LOXRU	reviewed	Phospholipase D LruSicTox-alphaIC1a (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles rufescens (Mediterranean recluse spider) (Scytodes rufescens)	273
C0JAS2	A1IB4_LOXHI	reviewed	Phospholipase D LhSicTox-alphaIA2biv (PLD) (EC 3.1.4.4) (Dermonecrotic toxin) (Sphingomyelin phosphodiesterase D) (SMD) (SMase D) (Sphingomyelinase D) (Fragment)		Loxosceles hirsuta (Recluse spider)	273
P84001	29C0_ANCSP	reviewed	U3-ctenitoxin-Asp1a (U3-CNTX-Asp1a) (Venom protein ANC29C0) (Fragment)		Ancylometes sp. (South American fishing spider)	50
P01381	3L22_HYDST	reviewed	Alpha-elapitoxin-Ast2b (Alpha-EPTX-Ast2b) (Long neurotoxin 2) (Toxin C)		Hydrophis stokesii (Stokes's sea snake) (Astrotia stokesii)	72
P60772	3S15_NAJSP	reviewed	Neurotoxin 5 (Toxin 5)		Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix)	61
P68417	3S11_NAJHA	reviewed	Short neurotoxin 1 (Neurotoxin alpha)		Naja annulifera (Banded Egyptian cobra) (Naja haje annulifera)	61
Q9YGI1	3NO23_NAJAT	reviewed	Probable weak neurotoxin NNAM3		Naja atra (Chinese cobra)	86
Q2VBN2	3NO24_OPHHA	reviewed	Weak neurotoxin WNTX34		Ophiophagus hannah (King cobra) (Naja hannah)	86
O42256	3NO26_NAJSP	reviewed	Weak neurotoxin 6 (Wntx-6)		Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix)	86
P29181	3NO27_NAJNA	reviewed	Weak neurotoxin 7		Naja naja (Indian cobra)	65
A2CKF6	3NO28_BUNFA	reviewed	Neurotoxin 3FTx-8a (3FTx-VIIIa)		Bungarus fasciatus (Banded krait) (Pseudoboa fasciata)	86
P01470	3SA3_NAJMO	reviewed	Cytotoxin 3 (CTX M4) (Cytotoxin V(II)3)		Naja mossambica (Mozambique spitting cobra)	60
Q802B3	3NO28_NAJSP	reviewed	Weak neurotoxin 8 (Wntx-8)		Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix)	86
Q802B2	3NO2A_NAJSP	reviewed	Weak neurotoxin 10 (Wntx-10)	WNTX10	Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix)	86
O93473	3SA4A_NAJSP	reviewed	Cytotoxin 4a (Cardiotoxin-4a) (CTX-4a) (Ctx4a)		Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix)	81
A8HDJ8	3S12_CRYNI	reviewed	Short neurotoxin 2 (SNTX-2)		Cryptophis nigrescens (Eastern small-eyed snake) (Rhinoplocephalus nigrescens)	81
Q9YGX1	3S1ED_LATSE	reviewed	Short neurotoxin OKI-Ed		Laticauda semifasciata (Black-banded sea krait) (Pseudolaticauda semifasciata)	83
P60310	3SA5B_NAJSP	reviewed	Cytotoxin 5b (Cardiotoxin 5b) (CTX-5b) (Ctx5b)		Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix)	81
P01456	3SA1_NAJNI	reviewed	Cytotoxin 1 (Toxin V(II)1)		Naja nivea (Cape cobra) (Coluber niveus)	60
P01406	3SOB4_DENJA	reviewed	Toxin S5C4		Dendroaspis jamesoni kaimosae (Eastern Jameson's mamba)	60
P86541	3SAA_NAJNA	reviewed	Cytotoxin 10 (CTX10)		Naja naja (Indian cobra)	60
F5CPD7	3S154_MICAT	reviewed	Three finger toxin MALT0054C (MALT0054C)		Micrurus altirostris (Uruguayan coral snake) (Elaps altirostris)	83
P24778	3SOE_HEMHA	reviewed	Cytotoxin homolog (Toxin 9B/9BB)		Hemachatus haemachatus (Rinkhals) (Sepedon haemachatus)	63
P14541	3SOFH_NAJKA	reviewed	Cytotoxin homolog (Cytotoxin-like basic protein) (CLBP)		Naja kaouthia (Monocled cobra) (Naja siamensis)	62
Q91137	3SOFL_NAJAT	reviewed	Cytotoxin homolog 5 (Cardiotoxin V-like)		Naja atra (Chinese cobra)	83
P81030	3SIM1_DENAN	reviewed	Muscarinic toxin 1 (MT1) (MTx1)		Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps)	66
Q2VBN0	3SIM8_OPHHA	reviewed	Muscarinic toxin 38 (MTX38)		Ophiophagus hannah (King cobra) (Naja hannah)	86
